Generic Name Review List
Format: Name | Score | Suggestion
==================================================
杨老头 | 52 | KEEP
火龙真人 | 35 | KEEP
老道人 | 29 | KEEP
老观主 | 18 | KEEP
林江仙 | 17 | KEEP
妇人 | 15 | KEEP
白发童子 | 12 | KEEP
埋河水神 | 9 | KEEP
嫩道人 | 9 | KEEP
竹皇 | 9 | KEEP
陆神 | 9 | KEEP
大隋皇帝 | 8 | KEEP
寒食江水神 | 8 | KEEP
崔明皇 | 8 | KEEP
楚夫人 | 8 | KEEP
白衣女子 | 8 | KEEP
黑衣少女 | 8 | KEEP
埋河水神娘娘 | 7 | KEEP
嫁衣女鬼 | 7 | KEEP
朱衣童子 | 7 | KEEP
桂夫人 | 7 | KEEP
竺奉仙 | 7 | KEEP
阴神 | 7 | KEEP
三山九侯先生 | 6 | KEEP
化外天魔 | 6 | KEEP
姚老头 | 6 | KEEP
灰衣老者 | 6 | KEEP
白帝城城主 | 6 | KEEP
老掌柜 | 6 | KEEP
范先生 | 6 | KEEP
锦衣少年 | 6 | KEEP
中年道人 | 5 | KEEP
姚老将军 | 5 | KEEP
抱剑汉子 | 5 | KEEP
楚姓书生 | 5 | KEEP
白衣男子 | 5 | KEEP
绯妃 | 5 | KEEP
老人 | 5 | KEEP
老车夫 | 5 | KEEP
萧鸾夫人 | 5 | KEEP
许氏妇人 | 5 | KEEP
跛脚少年 | 5 | KEEP
魏爷爷 | 5 | KEEP
中年僧人 | 4 | KEEP
儒衫老者 | 4 | KEEP
刘太守 | 4 | KEEP
土地老翁 | 4 | KEEP
妩媚女子 | 4 | KEEP
无名氏 | 4 | KEEP
曾先生 | 4 | KEEP
澹澹夫人 | 4 | KEEP
猿前辈 | 4 | KEEP
男人 | 4 | KEEP
疯疯癫癫的老人 | 4 | KEEP
绣花江水神 | 4 | KEEP
老儒士 | 4 | KEEP
聋道人 | 4 | KEEP
蔡京神 | 4 | KEEP
负剑男人 | 4 | KEEP
道家圣人 | 4 | KEEP
青袍男子 | 4 | KEEP
高冠老人 | 4 | KEEP
高大老人 | 4 | KEEP
鸦儿 | 4 | KEEP
黄掌柜 | 4 | KEEP
中年汉子 | 3 | KEEP
中年男子 | 3 | KEEP
儒衫老人 | 3 | KEEP
埋河水妖 | 3 | KEEP
帷帽少女 | 3 | KEEP
年轻扈从 | 3 | KEEP
托碗老人 | 3 | KEEP
施舟人 | 3 | KEEP
柳氏 | 3 | KEEP
桓夫人 | 3 | KEEP
梁先生 | 3 | KEEP
渠主夫人 | 3 | KEEP
狐妖 | 3 | KEEP
白笼城城主 | 3 | KEEP
白衣僧人 | 3 | KEEP
真武山兵家修士 | 3 | KEEP
福荫洞主人 | 3 | KEEP
米老魔 | 3 | KEEP
老侍郎 | 3 | KEEP
荀老儿 | 3 | KEEP
说书先生 | 3 | KEEP
邋遢老人 | 3 | KEEP
酡颜夫人 | 3 | KEEP
金甲神人 | 3 | KEEP
长春宫妇人 | 3 | KEEP
长眉少年 | 3 | KEEP
青神山夫人 | 3 | KEEP
青竹剑仙 | 3 | KEEP
青衫男子 | 3 | KEEP
马癯仙 | 3 | KEEP
马苦玄的师父 | 3 | KEEP
骑鹿神女 | 3 | KEEP
魁梧壮汉 | 3 | KEEP
中年儒士 | 2 | DROP
中年剑修 | 2 | DROP
井口边的老道人 | 2 | DROP
傅姓少女 | 2 | DROP
剑瓮先生 | 2 | DROP
卢氏皇帝 | 2 | DROP
堡主夫人 | 2 | DROP
大伏书院山主 | 2 | DROP
大圆月寺僧人 | 2 | DROP
大骊太后 | 2 | DROP
太平山元婴修士 | 2 | DROP
姜老儿 | 2 | DROP
宋大人 | 2 | DROP
客栈老人 | 2 | DROP
宫装妇人 | 2 | DROP
小莲花人儿 | 2 | DROP
少女 | 2 | DROP
少年 | 2 | DROP
尹仙 | 2 | DROP
崇妙道人 | 2 | DROP
崔氏孙儿 | 2 | DROP
年轻僧人 | 2 | DROP
年轻女子 | 2 | DROP
年轻店主 | 2 | DROP
廖师父 | 2 | DROP
张夫子 | 2 | DROP
徐某人 | 2 | DROP
愚庐先生 | 2 | DROP
拂尘男子 | 2 | DROP
教书先生 | 2 | DROP
朱某人 | 2 | DROP
柳姓书生 | 2 | DROP
柳婆婆 | 2 | DROP
梳水国山神 | 2 | DROP
樵夫少年 | 2 | DROP
流霞洲男子 | 2 | DROP
浣纱夫人 | 2 | DROP
清瘦老人 | 2 | DROP
渔翁先生 | 2 | DROP
玉液江水神娘娘 | 2 | DROP
琵琶女 | 2 | DROP
用刀男子 | 2 | DROP
白袍玉带男子 | 2 | DROP
目盲道人 | 2 | DROP
看门人剑仙 | 2 | DROP
真武山宗主 | 2 | DROP
真武山男子 | 2 | DROP
神秘书生 | 2 | DROP
神秘女子 | 2 | DROP
秦山神 | 2 | DROP
稚童 | 2 | DROP
穗山大神 | 2 | DROP
窦姓武人 | 2 | DROP
粗布麻衣男子 | 2 | DROP
系挂银色铃铛的少女 | 2 | DROP
红衣女鬼 | 2 | DROP
纳兰老祖师 | 2 | DROP
老尚书 | 2 | DROP
背剑少年 | 2 | DROP
背负长剑的男人 | 2 | DROP
莲花小人儿 | 2 | DROP
蒙面人 | 2 | DROP
读书人 | 2 | DROP
貌美妇人 | 2 | DROP
郦老夫子 | 2 | DROP
锦衣男子 | 2 | DROP
青娘娘 | 2 | DROP
青衫少年 | 2 | DROP
顾氏 | 2 | DROP
马将军 | 2 | DROP
丁道士 | 1 | DROP
上任城主 | 1 | DROP
中土武夫 | 1 | DROP
中年书生 | 1 | DROP
中年剑师 | 1 | DROP
中年宦官 | 1 | DROP
中年敦厚汉子 | 1 | DROP
中年观主 | 1 | DROP
九境金丹剑修 | 1 | DROP
书生 | 1 | DROP
书院山主 | 1 | DROP
云泥和尚 | 1 | DROP
从天外而来的汉子 | 1 | DROP
俊美大妖 | 1 | DROP
俊美少年 | 1 | DROP
儒士 | 1 | DROP
元婴老剑修 | 1 | DROP
兵器铺店主 | 1 | DROP
冲澹江水神 | 1 | DROP
凤仙花神 | 1 | DROP
刘小姐 | 1 | DROP
刺客之女 | 1 | DROP
包袱斋汉子 | 1 | DROP
卓成仙 | 1 | DROP
卖炭汉子 | 1 | DROP
南苑国太子 | 1 | DROP
古宅老妪 | 1 | DROP
古稀儒士 | 1 | DROP
名家铺子掌柜 | 1 | DROP
吴爷爷 | 1 | DROP
哑巴少年 | 1 | DROP
喜爱红妆的男子 | 1 | DROP
土地娘娘 | 1 | DROP
埋河女鬼 | 1 | DROP
墨绿长袍少女 | 1 | DROP
外乡年轻人 | 1 | DROP
外乡老人 | 1 | DROP
大端皇帝 | 1 | DROP
太后 | 1 | DROP
夫妇二人 | 1 | DROP
女子修士 | 1 | DROP
女子剑修 | 1 | DROP
姚师傅 | 1 | DROP
婢女 | 1 | DROP
宋大叔 | 1 | DROP
宋氏女子 | 1 | DROP
宛平县令 | 1 | DROP
客栈掌柜 | 1 | DROP
小精怪 | 1 | DROP
小莲人儿 | 1 | DROP
小道士 | 1 | DROP
小鼠精 | 1 | DROP
少年道士 | 1 | DROP
峥嵘宗剑修 | 1 | DROP
崆峒夫人 | 1 | DROP
年幼狐仙 | 1 | DROP
年轻书生 | 1 | DROP
年轻修士 | 1 | DROP
年轻剑修 | 1 | DROP
年轻女子掌柜 | 1 | DROP
年轻嫡传修士 | 1 | DROP
年轻学徒 | 1 | DROP
年轻掌柜 | 1 | DROP
年轻男人 | 1 | DROP
庙祝老妪 | 1 | DROP
庶子少年 | 1 | DROP
彩衣国山神 | 1 | DROP
彩雀府府主 | 1 | DROP
御剑老者 | 1 | DROP
扫地老人 | 1 | DROP
扶乩宗金丹修士 | 1 | DROP
护国真人 | 1 | DROP
披甲男子 | 1 | DROP
披甲鲤精 | 1 | DROP
无敌神拳帮老帮主 | 1 | DROP
暮寒河河神 | 1 | DROP
朦胧山祖师 | 1 | DROP
木屐女子 | 1 | DROP
木讷男人 | 1 | DROP
李夫人 | 1 | DROP
李氏老人 | 1 | DROP
杨师兄 | 1 | DROP
枯骨艳鬼 | 1 | DROP
柳将军 | 1 | DROP
柳老侍郎 | 1 | DROP
桐叶宗祖师 | 1 | DROP
梅釉国书生 | 1 | DROP
梳水国大都督 | 1 | DROP
楚姓读书人 | 1 | DROP
武圣人 | 1 | DROP
气态雍容的妇人 | 1 | DROP
水神 | 1 | DROP
泥金色长袍少年 | 1 | DROP
清秀少年 | 1 | DROP
清风城妇人 | 1 | DROP
熊精 | 1 | DROP
狐仙 | 1 | DROP
玉璞境老剑仙 | 1 | DROP
琵琶女子 | 1 | DROP
生面孔年轻人 | 1 | DROP
画眉男子 | 1 | DROP
畏寒妇人 | 1 | DROP
瘦梅 | 1 | DROP
瘦猴老人 | 1 | DROP
白发老人 | 1 | DROP
白发老者 | 1 | DROP
白娘娘 | 1 | DROP
白衣人 | 1 | DROP
白衣少年郎 | 1 | DROP
白衣老猿 | 1 | DROP
白衣老翁 | 1 | DROP
白衣高冠老修士 | 1 | DROP
白鹿道人 | 1 | DROP
眉心有痣的清秀少年 | 1 | DROP
碰瓷妇人 | 1 | DROP
礼部尚书 | 1 | DROP
神秘剑修 | 1 | DROP
神秘声音 | 1 | DROP
神秘少女 | 1 | DROP
神秘男子 | 1 | DROP
神秘白衣人 | 1 | DROP
神秘老者 | 1 | DROP
神诰宗老道人 | 1 | DROP
秋水道人 | 1 | DROP
秦姓山神 | 1 | DROP
积香庙河神 | 1 | DROP
竹夫人 | 1 | DROP
竹篮女子 | 1 | DROP
笑脸儿 | 1 | DROP
簪花男子 | 1 | DROP
红袍老者 | 1 | DROP
绣楼女子 | 1 | DROP
老书生 | 1 | DROP
老元婴修士 | 1 | DROP
老剑仙 | 1 | DROP
老剑修 | 1 | DROP
老妇人 | 1 | DROP
老真人 | 1 | DROP
老神仙 | 1 | DROP
肤腻城城主 | 1 | DROP
背刀挎弓女子 | 1 | DROP
背剑白猿 | 1 | DROP
臭椿道人 | 1 | DROP
船主老修士 | 1 | DROP
船夫 | 1 | DROP
苏姓老修士 | 1 | DROP
英俊少年 | 1 | DROP
英俊男子 | 1 | DROP
英气少女 | 1 | DROP
范家少年 | 1 | DROP
茶摊掌柜 | 1 | DROP
葛姓道士 | 1 | DROP
葛道人 | 1 | DROP
董老夫子 | 1 | DROP
蛇蝎夫人 | 1 | DROP
蜃泽水神 | 1 | DROP
行雨神女 | 1 | DROP
袒胸露腹的男子 | 1 | DROP
许斌仙 | 1 | DROP
谢氏妇人 | 1 | DROP
貂帽老儒生 | 1 | DROP
负剑老人 | 1 | DROP
贺宗主 | 1 | DROP
贼眉鼠眼的汉子 | 1 | DROP
赤脚男子 | 1 | DROP
赵姓阴神 | 1 | DROP
赵家老祖宗 | 1 | DROP
赵繇的奶奶 | 1 | DROP
跛脚老道士 | 1 | DROP
远古大妖 | 1 | DROP
远古妖族剑修 | 1 | DROP
避暑娘娘 | 1 | DROP
邱国太后 | 1 | DROP
邵坡仙 | 1 | DROP
酒肆朋友 | 1 | DROP
重瞳男子 | 1 | DROP
金丹地仙 | 1 | DROP
金璜府君夫人 | 1 | DROP
金色小人儿 | 1 | DROP
金色巨人 | 1 | DROP
金身境武夫 | 1 | DROP
钟某人 | 1 | DROP
钱猴儿 | 1 | DROP
银铃少女 | 1 | DROP
锦衣老人 | 1 | DROP
锦袍男子 | 1 | DROP
长眉儿 | 1 | DROP
长袍老者 | 1 | DROP
阴柔男子 | 1 | DROP
陆先生 | 1 | DROP
陌生剑修 | 1 | DROP
陶小姐 | 1 | DROP
雍容女子 | 1 | DROP
雨龙宗宗主 | 1 | DROP
青牛道士 | 1 | DROP
青衫老人 | 1 | DROP
青衫老者 | 1 | DROP
韩老夫子 | 1 | DROP
香火小人 | 1 | DROP
马尾辫少女 | 1 | DROP
马苦玄奶奶 | 1 | DROP
驾车少女 | 1 | DROP
高冠老者 | 1 | DROP
高大男子 | 1 | DROP
高大老者 | 1 | DROP
高大老道人 | 1 | DROP
高瘦老人 | 1 | DROP
魁梧扈从 | 1 | DROP
魁梧老人 | 1 | DROP
魁梧青年 | 1 | DROP
黄老道人 | 1 | DROP
黄花神 | 1 | DROP
黝黑汉子 | 1 | DROP
龙窑娘娘腔汉子 | 1 | DROP
龙袍女子 | 1 | DROP
龙袍少女 | 1 | DROP
龙门境老修士 | 1 | DROP
中年夫妇 | 0 | DROP
中年扈从 | 0 | DROP
习武婢女 | 0 | DROP
云泥僧人 | 0 | DROP
五短身材汉子 | 0 | DROP
伏龙观年轻剑修 | 0 | DROP
佛门圣人 | 0 | DROP
佝偻老妪 | 0 | DROP
佩刀少女 | 0 | DROP
俊美中年男子 | 0 | DROP
儒家练气士 | 0 | DROP
儒衫大妖 | 0 | DROP
儒衫文士 | 0 | DROP
元武帝 | 0 | DROP
入赘男子 | 0 | DROP
凉亭少年 | 0 | DROP
刘副山主 | 0 | DROP
刘姓读书人 | 0 | DROP
刺客妇人 | 0 | DROP
化宝妖 | 0 | DROP
卖糖葫芦的汉子 | 0 | DROP
周先生 | 0 | DROP
四境武夫妇人 | 0 | DROP
坐镇琼楼玉宇的大妖 | 0 | DROP
填海真人 | 0 | DROP
大泉女帝 | 0 | DROP
大隋礼部尚书 | 0 | DROP
女子武神 | 0 | DROP
姜氏老妪 | 0 | DROP
宋老夫子 | 0 | DROP
寒酸书生 | 0 | DROP
尉姓老者 | 0 | DROP
小和尚 | 0 | DROP
小酒儿 | 0 | DROP
少年伙计 | 0 | DROP
少年僧人 | 0 | DROP
少年剑仙 | 0 | DROP
少年徒弟 | 0 | DROP
尖下巴少女 | 0 | DROP
崔姓老前辈 | 0 | DROP
崔承仙 | 0 | DROP
崔瀺的爷爷 | 0 | DROP
幂篱女子 | 0 | DROP
干瘦长眉老人 | 0 | DROP
年轻伙计 | 0 | DROP
年轻剑仙大妖 | 0 | DROP
年轻女冠 | 0 | DROP
年轻女子剑修 | 0 | DROP
年轻妇人 | 0 | DROP
年轻骁将 | 0 | DROP
年轻骑卒 | 0 | DROP
府君娘娘 | 0 | DROP
彩衣国剑神 | 0 | DROP
徐夫人 | 0 | DROP
悬笔老人 | 0 | DROP
手系红绳女子 | 0 | DROP
持伞女子 | 0 | DROP
挂砚神女 | 0 | DROP
挑担僧人 | 0 | DROP
捉妖仙人 | 0 | DROP
捉妖大仙 | 0 | DROP
捣衣女子 | 0 | DROP
撑伞女鬼 | 0 | DROP
散修剑修 | 0 | DROP
文士 | 0 | DROP
无名僧人 | 0 | DROP
无名元婴修士 | 0 | DROP
无名女子 | 0 | DROP
无名男孩 | 0 | DROP
无名老者 | 0 | DROP
无眉女子武夫 | 0 | DROP
春花江水神 | 0 | DROP
曹督造 | 0 | DROP
木法练气士 | 0 | DROP
木讷少年 | 0 | DROP
木讷汉子 | 0 | DROP
木讷男子 | 0 | DROP
朱玉仙 | 0 | DROP
朱皇 | 0 | DROP
朱荧王朝老人 | 0 | DROP
李家老祖宗 | 0 | DROP
杜姓老者 | 0 | DROP
杨掌柜 | 0 | DROP
杨氏少年 | 0 | DROP
杨爷爷 | 0 | DROP
柏舟女子 | 0 | DROP
某青年修士 | 0 | DROP
桃叶巷老人 | 0 | DROP
桐叶宗少女 | 0 | DROP
桐叶宗少年 | 0 | DROP
桓氏妇人 | 0 | DROP
梁姓看门人 | 0 | DROP
梦梁国汉子 | 0 | DROP
樊氏 | 0 | DROP
正阳山山主 | 0 | DROP
汉子 | 0 | DROP
洪姓老修士 | 0 | DROP
消瘦老者 | 0 | DROP
灰衣老人 | 0 | DROP
灰衣老剑修 | 0 | DROP
烧火童子 | 0 | DROP
犯人 | 0 | DROP
独臂少女 | 0 | DROP
玉牒上人 | 0 | DROP
瑞凤儿 | 0 | DROP
瓷人少年 | 0 | DROP
瓷器少年 | 0 | DROP
田仙 | 0 | DROP
田酒儿 | 0 | DROP
瘦高青年男子 | 0 | DROP
白发老妪 | 0 | DROP
白衣少女 | 0 | DROP
白衣高大女子 | 0 | DROP
白袍男子 | 0 | DROP
目盲老道人 | 0 | DROP
眉心有痣的清俊少年 | 0 | DROP
看水老人 | 0 | DROP
矮小老人 | 0 | DROP
研习木法的练气士 | 0 | DROP
神秘女子练气士 | 0 | DROP
神秘武夫 | 0 | DROP
神诰宗青年剑修 | 0 | DROP
竹冠老道士 | 0 | DROP
符箓派道人 | 0 | DROP
符箓老道人 | 0 | DROP
精致少年 | 0 | DROP
系红绳妇人 | 0 | DROP
紫面汉子 | 0 | DROP
红衣女子 | 0 | DROP
红袍少年 | 0 | DROP
红袍男子 | 0 | DROP
纳兰爷爷 | 0 | DROP
练气士 | 0 | DROP
络腮胡年轻人 | 0 | DROP
绣花江正神 | 0 | DROP
绿腰娘娘 | 0 | DROP
绿袍女子 | 0 | DROP
羊脂堂老人 | 0 | DROP
美妇人 | 0 | DROP
胖子少年 | 0 | DROP
花容月貌的年轻女子 | 0 | DROP
范夫子 | 0 | DROP
药铺汉子 | 0 | DROP
萧氏 | 0 | DROP
蜈蚣精 | 0 | DROP
蟒衣男子 | 0 | DROP
袒胸露腹的汉子 | 0 | DROP
谢氏女子 | 0 | DROP
貂裘女子 | 0 | DROP
貂裘男子 | 0 | DROP
貌不惊人的年轻男子 | 0 | DROP
贾老神仙 | 0 | DROP
赤脚僧人 | 0 | DROP
赵氏阴神 | 0 | DROP
赵老夫子 | 0 | DROP
身材高大的女子 | 0 | DROP
车夫 | 0 | DROP
远游境武夫 | 0 | DROP
递香人 | 0 | DROP
递香人汉子 | 0 | DROP
道门圣人 | 0 | DROP
邪道修士 | 0 | DROP
邱国皇帝 | 0 | DROP
郦先生 | 0 | DROP
酒儿 | 0 | DROP
金丹修士 | 0 | DROP
金甲骑士 | 0 | DROP
金色小人 | 0 | DROP
钟姓书生 | 0 | DROP
铁券河神 | 0 | DROP
锦袍老人 | 0 | DROP
门房男子 | 0 | DROP
阮氏父女 | 0 | DROP
陆姓老人 | 0 | DROP
雀斑少女 | 0 | DROP
青衫文士 | 0 | DROP
青骨夫人 | 0 | DROP
韩将军 | 0 | DROP
香火小人儿 | 0 | DROP
马侍郎 | 0 | DROP
马先生 | 0 | DROP
马夫 | 0 | DROP
马氏妇人 | 0 | DROP
驼背老人 | 0 | DROP
驼背老妪 | 0 | DROP
高冠年轻人 | 0 | DROP
高大道人 | 0 | DROP
高大青年 | 0 | DROP
高挑女子 | 0 | DROP
高瘦老者 | 0 | DROP
鬼物书生 | 0 | DROP
魁梧汉子 | 0 | DROP
魏夫人 | 0 | DROP
魏琼仙 | 0 | DROP
黄眉仙 | 0 | DROP
黄衣芸 | 0 | DROP
黑衣大汉 | 0 | DROP
黑袍老者 | 0 | DROP
齐姓老人 | 0 | DROP
龙门境兵家修士 | 0 | DROP
